"","HOME","ROAD","GAME.DATE","SPREAD","H.PTS","R.PTS","Diff","sprError","VegDiffPred","VegHPred","VegRPred","PredDifflm01","PredDifflm02","PredHlm01","PredHlm02","PredRlm01","PredRlm02","dpcalm","Hpcalm","Rpcalm","PredDiffRF","PredHRF","PredRRF","PredDiffXGB","PredHXGB","PredRXGB","PredDiffglm","PredHglm","PredRglm"
"175","ORL","ATL",2017-02-25,3.5,105,86,-19,-22.5,3.56138820117343,102.915502019514,106.515884655491,1.90073017816353,2.05345752961727,103.639601391605,103.198834432968,105.454680814473,105.30427025033,1.58688342017089,103.81317834555,105.424729680608,3.25006462585034,102.193278911565,107.166857142857,3.22867131233215,103.856460571289,104.482986450195,1.06744649720566,103.798477035392,104.050165365184
"177","NOP","HOU",2017-03-17,6.5,128,112,-16,-22.5,6.46994775756704,110.77361498334,117.235327618277,4.95840387699426,4.87003309427914,107.527935157413,107.595083887565,111.543570682827,111.864567302407,5.16404614696349,108.314265671124,112.521386973389,9.21661564625851,105.997204081633,116.337431972789,2.13635110855103,108.609268188477,114.903579711914,2.53213418376694,107.458634345854,109.379578411538
"183","DAL","WAS",2014-12-30,-5,114,87,-27,-22,-4.67953054194182,107.335690561666,102.617905396297,-3.32612444414394,-3.80576019341751,105.759027222244,105.166387029181,101.869991175787,101.765115301394,-2.57486195783223,105.266973727578,102.332125271246,-0.992363945578231,104.978979591837,103.942098639456,-1.32194602489471,103.354049682617,102.602180480957,-3.11367336832408,105.699927785959,100.937864437219
"190","MIA","DAL",2016-01-01,-2,106,82,-24,-22,-1.7709709855482,99.2320115677213,97.5018076186037,-2.66920579357935,-2.58886804231099,99.7501043768479,100.004332374531,97.3971129283514,97.6176873907772,-2.41170302659831,99.2184424222518,98.2571459271361,-2.59106802721089,97.618530612245,99.1079047619047,-1.31933355331421,92.3408508300781,97.5393676757812,-2.85819347681025,101.406731183882,99.6061368092942
"191","HOU","POR",2016-02-06,-5,79,96,17,22,-4.67953054194182,112.001445133938,107.24675576659,-3.30928331219363,-3.50644334745419,108.028238708902,107.934286449579,106.320267910692,106.727403811957,-1.45152734187945,106.133120319489,107.023432342899,-2.56252040816327,105.629265306122,107.452965986395,-2.43012475967407,104.309051513672,102.575065612793,-2.1925061682102,106.092739001092,104.885599630395
"194","DEN","HOU",2016-12-02,-4,110,128,18,22,-3.71001068981062,112.001445133938,108.221250581389,2.43102883630452,2.64467683138879,111.087185370813,111.704982525075,113.270213698887,112.612970134026,2.09663789900823,112.387288643503,113.40247925764,0.191051020408163,111.788442176871,115.475044217687,1.30304503440857,113.263595581055,119.672393798828,0.90302616716076,109.927773774839,110.025043954701
"200","NYK","BKN",2014-01-20,1.5,80,103,23,21.5,1.62234849691101,95.7940871460477,97.5018076186037,-0.0340187064202448,0.51463652522346,96.155888690984,96.4995541104635,96.4063532068154,96.2872385235502,-0.348176980271238,96.255520670808,95.6486679734384,-1.01278911564626,99.0175034013605,96.4183673469388,-0.297394990921021,93.8389282226562,96.6259307861328,-1.93577657238775,98.4514947358996,97.9458487096831
"202","IND","SAS",2014-03-31,4.5,77,103,26,21.5,4.53090805330463,92.3561627243741,97.0145602112044,1.29086833585273,0.363831438326564,95.1022992457947,94.6970396299251,95.9356002695057,95.6633477006494,1.16035933866455,94.7195661850065,96.5772710041688,-0.718493197278911,96.8395646258504,96.5192619047619,-2.15115427970886,93.9496459960938,92.6949310302734,0.18114761097308,96.2890927413413,98.3801145884143
"203","PHI","CHA",2014-04-02,8.5,93,123,30,21.5,8.40898746182945,98.4953134773627,107.003132062891,6.28451236099571,6.23874843911432,99.1639510085848,99.7301034476728,105.362361076693,103.865679611971,6.90549659044276,98.9174341262487,105.766787717761,6.22518707482993,98.347149659864,106.248836734694,6.39455032348633,96.7778778076172,105.876762390137,4.32902671181342,100.195355222478,104.010886589739
"204","CLE","BKN",2014-04-16,-7.5,114,85,-29,-21.5,-7.10333017226983,102.915502019514,95.796441692706,3.1229358994456,1.39710914298075,98.0869819103803,98.9559297854693,99.0502064900809,99.2035795139725,1.35968876768938,98.0308401387639,97.9987718785716,2.10144557823129,102.006530612245,98.1415884353741,2.13622808456421,97.8170623779297,95.428466796875,-0.170283135725515,100.424284517556,99.6013262675081
