"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"570","PHI","PHX",2014-11-21,0,9,0,0.188263435427427,0,0.188263435427427,0,0.164497798376044,0,"0","0",0.200309821172535,0,0.161258220672607,0.06
"581","LAL","DET",2015-11-15,1,5,0,0.325413582019677,0,0.325413582019677,0,0.315688117958716,0,"0","0",0.353402148994147,0,0.309250116348267,0.45
"586","DET","MIN",2015-12-31,1,-8,1,0.700166977772432,1,0.700166977772432,1,0.577739417238912,1,"1","1",0.608616914594236,1,0.584954798221588,0.76
"588","NOP","DAL",2016-01-06,0,-8,1,0.359966892290755,0,0.359966892290755,0,0.409924672185069,0,"0","0",0.426075799076494,0,0.401430726051331,0.31
"590","UTA","BOS",2016-02-19,1,-1,1,0.607358848251502,1,0.607358848251502,1,0.528702649172914,1,"0","1",0.513192817538733,1,0.5321986079216,0.5
"595","CHA","DEN",2016-03-19,0,-9,1,0.782802765716563,1,0.782802765716563,1,0.748197108681598,1,"1","1",0.724693690213385,1,0.74582827091217,0.88
"596","LAC","MEM",2016-04-12,1,-9,1,0.785758536762298,1,0.785758536762298,1,0.738828605188077,1,"1","1",0.757179114456018,1,0.752990543842316,0.97
"597","DEN","GSW",2016-11-10,0,7,0,0.315210631564783,0,0.315210631564783,0,0.328870696732625,0,"0","0",0.360014297174329,0,0.316057980060577,0.3
"606","MIN","HOU",2017-01-11,1,3,0,0.362502911137137,0,0.362502911137137,0,0.388801262385986,0,"0","0",0.386359866482729,0,0.385666489601135,0.16
"611","OKC","CHA",2017-04-02,0,-5,1,0.510717556280074,1,0.510717556280074,1,0.501004403467486,1,"1","1",0.526233727451788,1,0.505263566970825,0.53
"614","GSW","POR",2013-11-23,0,-4.5,1,0.710639790016023,1,0.710639790016023,1,0.689254854726576,1,"1","1",0.636248539851667,1,0.669073283672333,0.66
"621","MEM","DAL",2014-02-05,0,-2.5,1,0.550140903925893,1,0.550140903925893,1,0.49354825357045,0,"1","1",0.534212231454247,1,0.505330264568329,0.73
"622","ORL","DET",2014-02-05,1,2.5,0,0.453012799048294,0,0.453012799048294,0,0.461592014947111,0,"1","0",0.472080611058811,0,0.436694025993347,0.61
"626","CHA","ATL",2014-03-17,0,-2.5,1,0.582152582307055,1,0.582152582307055,1,0.60798126758533,1,"1","1",0.617840170756907,1,0.615646421909332,0.72
"628","GSW","UTA",2014-04-06,1,-11.5,1,0.849829836758476,1,0.849829836758476,1,0.847630912775202,1,"1","1",0.823313662916449,1,0.836726188659668,1
"638","LAC","DAL",2015-01-10,1,-3.5,1,0.564787765265106,1,0.564787765265106,1,0.569827650646363,1,"0","1",0.568311159801407,1,0.555522382259369,0.59
"639","ORL","HOU",2015-01-14,1,9.5,0,0.300754654358915,0,0.300754654358915,0,0.291357342744741,0,"0","0",0.328864014886904,0,0.292414933443069,0.22
"642","MIA","NOP",2015-02-21,0,-2.5,1,0.644033184471395,1,0.644033184471395,1,0.623140430396597,1,"1","1",0.617021960644512,1,0.626801729202271,0.65
"643","OKC","DEN",2015-02-22,1,-8.5,1,0.794130433061817,1,0.794130433061817,1,0.778027345345714,1,"1","1",0.760849789860714,1,0.777925252914429,0.93
"648","IND","MIA",2015-04-05,1,-6.5,1,0.612319006234452,1,0.612319006234452,1,0.578106288770949,1,"1","1",0.621795088458949,1,0.587380170822144,0.76
"651","NOP","BOS",2015-12-07,0,1.5,0,0.305660933211439,0,0.305660933211439,0,0.279822860817502,0,"0","0",0.324780238809694,0,0.296369850635529,0.43
